gubun,lat ,long
대구,35.83946916,128.5609711
부산,35.15535253,129.0502635
서울,37.54984829,126.9859269
경기,37.43509147,127.486389
세종,36.604113,127.2661167
울산,35.54074395,129.2514388
대전,36.3400648,127.3910594
광주,35.15448181,126.8167214
인천,37.47569839,126.6811167
경북,36.29818542,128.8931216
전남,34.88647064,126.8462651
전북,35.84196948,127.1089426
충남,36.6750485,126.8684487
충북,36.9369704,127.6081516
강원,37.68290125,128.6634329
제주,33.39253012,126.5444458
경남 ,35.48066725,128.1759121
전국,36.09646337,124.8212278
